filename	blog	year	country	no_of_token	no_of_sentences	median_sentence_length	n_ratio	v_ratio	unknown_ratio
topfundloeffel_02.txt	topfundloeffel	2018	Deutschland	585	37	13.0	0.2231543624161074	0.13087248322147652	0.05704697986577181
topfundloeffel_03.txt	topfundloeffel	2018	Deutschland	599	40	9.5	0.24546952224052718	0.12191103789126853	0.057660626029654036
topfundloeffel_04.txt	topfundloeffel	2018	Deutschland	508	37	12.0	0.2380038387715931	0.12476007677543186	0.04222648752399232
topfundloeffel_05.txt	topfundloeffel	2018	Deutschland	543	39	14.0	0.25272727272727274	0.13454545454545455	0.02
topfundloeffel_06.txt	topfundloeffel	2017	Deutschland	429	28	12.5	0.29157175398633256	0.10478359908883828	0.1275626423690205
topfundloeffel_07.txt	topfundloeffel	2017	Deutschland	360	30	9.5	0.1928374655647383	0.13774104683195593	0.024793388429752067
topfundloeffel_08.txt	topfundloeffel	2017	Deutschland	314	22	11.5	0.2641509433962264	0.12578616352201258	0.040880503144654086
topfundloeffel_09.txt	topfundloeffel	2015	Deutschland	212	13	19.0	0.27751196172248804	0.13875598086124402	0.1722488038277512
topfundloeffel_10.txt	topfundloeffel	2017	Deutschland	703	51	13.0	0.18091168091168092	0.14102564102564102	0.06837606837606838
vogels-kueche_01.txt	vogels-kueche	2018	Deutschland	1912	113	15.0	0.24079915878023134	0.1156677181913775	0.08364018937401367
vogels-kueche_02.txt	vogels-kueche	2018	Deutschland	1176	71	15.0	0.24102564102564103	0.13760683760683762	0.07179487179487179
vogels-kueche_03.txt	vogels-kueche	2018	Deutschland	798	51	15.0	0.244640605296343	0.11601513240857503	0.07566204287515763
vogels-kueche_04.txt	vogels-kueche	2018	Deutschland	446	35	9.0	0.24036281179138322	0.15419501133786848	0.07256235827664399
vogels-kueche_05.txt	vogels-kueche	2018	Deutschland	1278	72	16.5	0.233201581027668	0.12015810276679842	0.08379446640316206
vogels-kueche_06.txt	vogels-kueche	2018	Deutschland	464	27	14.0	0.2472885032537961	0.13665943600867678	0.026030368763557483
vogels-kueche_07.txt	vogels-kueche	2017	Deutschland	891	58	12.0	0.2215973003374578	0.12485939257592801	0.04049493813273341
vogels-kueche_08.txt	vogels-kueche	2017	Deutschland	657	44	13.0	0.23348694316436253	0.11213517665130568	0.08294930875576037
vogels-kueche_09.txt	vogels-kueche	2017	Deutschland	456	30	13.0	0.2891832229580574	0.11258278145695365	0.0640176600441501
vogels-kueche_10.txt	vogels-kueche	2016	Deutschland	939	55	15.0	0.23799359658484526	0.1248665955176094	0.07470651013874066
zuckerbaeckerei_01.txt	zuckerbaeckerei	2018	Österreich	491	26	15.0	0.22653061224489796	0.1346938775510204	0.09795918367346938
zuckerbaeckerei_02.txt	zuckerbaeckerei	2017	Österreich	562	28	17.5	0.22363636363636363	0.13818181818181818	0.08545454545454545
zuckerbaeckerei_03.txt	zuckerbaeckerei	2017	Österreich	426	22	19.0	0.2364066193853428	0.1347517730496454	0.09456264775413711
zuckerbaeckerei_04.txt	zuckerbaeckerei	2017	Österreich	1135	54	17.5	0.22940655447298494	0.13197519929140833	0.0841452612931798
zuckerbaeckerei_05.txt	zuckerbaeckerei	2017	Österreich	580	34	17.5	0.25773195876288657	0.10309278350515463	0.11168384879725086
zuckerbaeckerei_06.txt	zuckerbaeckerei	2017	Österreich	656	29	20.0	0.2678843226788432	0.1187214611872146	0.1232876712328767
zuckerbaeckerei_07.txt	zuckerbaeckerei	2017	Österreich	1237	73	15.0	0.22988505747126436	0.14532019704433496	0.090311986863711
zuckerbaeckerei_08.txt	zuckerbaeckerei	2017	Österreich	269	14	16.0	0.20446096654275092	0.12267657992565056	0.07806691449814127
zuckerbaeckerei_09.txt	zuckerbaeckerei	2017	Österreich	271	15	17.0	0.25555555555555554	0.14074074074074075	0.08888888888888889
zuckerbaeckerei_10.txt	zuckerbaeckerei	2017	Österreich	296	16	16.0	0.2983050847457627	0.12542372881355932	0.11186440677966102
